sentences,labels
"['我', '去', '松', '门']","['X', 'X', 'IG', 'IG']"
"['天水市', '市', '第二', '人民医院', '怎么', '走']","['IG', 'IG', 'IG', 'IG', 'X', 'X']"
"['导航', '到', '环球', '中心']","['IO', 'X', 'IG', 'IG']"
"['导航', '北', '市场']","['IO', 'IG', 'IG']"
"['去', '往', '献县']","['X', 'X', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['导航', '到', '无锡', '东', '收费站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '马', '记', '维修', '店']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['额', '(', 'unknown', ')', '加油站']","['X', 'X', 'X', 'X', 'IA']"
"['导航', '到', '商丘']","['IO', 'X', 'IG']"
"['取消', '吧']","['IO', 'X']"
"['请', '导航']","['X', 'IO']"
"['导航', '古井']","['IO', 'IG']"
"['我', '要', '去', '北京', '火车站']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '太原', '科技', '大学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '茂名', '华', '海', '酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '到', '宜都市', '政府']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['去', '众', '彩', '物流']","['X', 'IG', 'IG', 'IG']"
"['到', '南昌', '火车站']","['X', 'IG', 'IG']"
"['导航', '到', '嘉峪关']","['IO', 'X', 'IG']"
"['我', '要', '去', '柏', '乡', '服务区']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
['这'],['X']
"['澄迈县', '电业局']","['IA', 'IA']"
"['(', 'side', ')', '(', 'unknown', ')', '，', '我', '要', '到', '宜昌', '街']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['(', 'side', ')', '(', 'unknown', ')', '的', '地方', '啊']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['关闭', '导航']","['IO', 'IN']"
['故事'],['X']
"['导航', '去', '合一', '映像']","['IO', 'X', 'IG', 'IG']"
['第四个'],['IP']
"['取消', '导航']","['IO', 'IN']"
"['成都', '东站']","['IA', 'IA']"
"['成都', '的', '吉田']","['IB', 'X', 'IC']"
"['去', '大连市', '小平', '岛']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '加油']","['X', 'X', 'X', 'IG']"
"['我', '要', '去', '福建省', '联通', '公司']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
['回家'],['X']
"['导航', '杨利', '蛋糕', '坊']","['IO', 'IG', 'IG', 'IG']"
"['导航', '去', '西安']","['IO', 'X', 'IG']"
"['小', '在', '你', '好']","['X', 'X', 'X', 'X']"
['导航'],['IO']
"['水城', '县', '平', '寨', '乡', '箐', '马村']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['宁海', '中路', '二百九十五', '号']","['IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '殡仪馆']","['X', 'X', 'X', 'IA']"
"['(', 'unknown', ')', '导航', '到', '松山区', '财政', '宾馆']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['到', '洛阳', '快速', '通道']","['X', 'IG', 'IG', 'IG']"
"['导航', '到', '徐州市', '火车站']","['IO', 'X', 'IG', 'IG']"
"['导航', '沙土', '镇', '新东方', '小学']","['IO', 'IG', 'IG', 'IG', 'IG']"
['确定'],['X']
"['我', '要', '去', '广州', '越秀区', '儿童医院']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['到', '亚都', '名', '苑']","['X', 'IG', 'IG', 'IG']"
"['去', '新郑', '机场']","['X', 'IG', 'IG']"
['导航'],['IO']
"['到', '重庆']","['X', 'IG']"
"['去', '福耀', '玻璃']","['X', 'IG', 'IG']"
"['导航', '到', '廊坊市', '码头', '马头', '镇']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '去', '西南', '民族', '大学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '海', '会', '路']","['IO', 'X', 'IG', 'IG', 'IG']"
"['到', '兴', '康', '业']","['X', 'IG', 'IG', 'IG']"
"['泸州', '市委', '政府']","['IA', 'IA', 'IA']"
"['导航', '到', '翠', '苑', '一', '区']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
['导航'],['IO']
['第三个'],['IP']
"['导航', '去', '乐山市', '人民政府']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '沈阳市', '浑南', '区', '嗯', '东', '什么', '东湖', '东湖', '派出所']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '天', '音', '文', '鼎', '苑']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['开始', '导航']","['IO', 'IO']"
"['退出', '导航']","['IO', 'IN']"
"['导航', '去', '宿州市', '南通', '驾校', '安', '通', '安', '通']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['帮', '我', '导航', '监利县', '大', '垸', '职工']","['X', 'X', 'IO', 'IG', 'IG', 'IG', 'IG']"
"['去', '沭阳县', '中华', '小', '(', 'side', ')', '现在', '(', 'unknown', ')', '呢', '都', '是', '玛莎拉蒂', '后面', '也是', '但是', '方向盘', '上面', '是', '什么', '宝马', '宝马', '宝马', '(', 'unknown', ')']","['X', 'IG', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['走', '高速']","['IM', 'IM']"
"['导航', '到', '渭南市', '幸福', '里', '小区']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['到', '运城', '北站']","['X', 'IG', 'IG']"
"['导航', '去', '昆明市', '第三', '中学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '金', '阳', '南路']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '甘肃', '全顺']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '旧货', '市场']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '八', '钢']","['IO', 'X', 'IG', 'IG']"
"['神舟', '我', '去', '阿', '城区', '料', '甸', '镇']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
['退出'],['IO']
"['我', '要', '去', '吃', '德', '天顺', '盖', '码', '饭']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '大众', '益阳', '四', 's', '店']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '葫芦', '山', '(', 'unknown', ')']","['X', 'IG', 'IG', 'X', 'X', 'X']"
"['去', '望城', '路', '四', 's', '店']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '靖江', '南', '(', 'unknown', ')', '港']","['IO', 'X', 'IG', 'IG', 'X', 'X', 'X', 'IG']"
"['去', '香山', '湖', '一号']","['X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
['返回'],['IO']
"['到', '武安', '市', '新世纪', '广场']","['X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '海州', '区', '中', '茵', '名', '都']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['我', '要', '去', '淄博市', '张店区']","['X', 'X', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['导航', '到', '嘉峪关', '机场']","['IO', 'X', 'IG', 'IG']"
['第二个'],['IP']
"['(', 'unknown', ')']","['X', 'X', 'X']"
['第一个'],['IP']
"['导航', '到', '新郑', '机场']","['IO', 'X', 'IG', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['帮', '我', '导航']","['X', 'X', 'IO']"
"['迪', '迪', '派']","['IA', 'IA', 'IA']"
"['(', 'side', ')', '，', '取消', '导航', '了', '不要', '了', '不用', '了']","['X', 'X', 'X', 'X', 'IO', 'IN', 'X', 'X', 'X', 'X', 'X']"
"['导航', '新塘', '凤', '馨', '苑']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['闭', '导航']","['IO', 'IN']"
['第二个'],['IP']
['第一个'],['IP']
"['去', '大众', '苑']","['X', 'IG', 'IG']"
"['导航', '到', '青铜峡', '铝厂']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '慧', '时', '欣园']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['我', '要', '去', '一', '中']","['X', 'X', 'X', 'IG', 'IG']"
"['去', '深圳', '宝安', '机场', '货运', '部']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '北', '六', '里', '变电所']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['去', '合肥市']","['X', 'IG']"
"['富', '田', '太阳城', '一', '区']","['IA', 'IA', 'IA', 'IA', 'IA']"
['第二个'],['IP']
"['关闭', '导航']","['IO', 'IN']"
"['我', '要', '去', '威', '固']","['X', 'X', 'X', 'IG', 'IG']"
"['打开', '导航']","['IO', 'IN']"
"['到', '枫叶', '王府', '酒店']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '湖北省', '咸宁市']","['X', 'X', 'X', 'IG', 'IG']"
"['继续', '导航', '加州']","['IO', 'IO', 'IG']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['导航', '官园', '批发', '市场']","['IO', 'IG', 'IG', 'IG']"
"['去', '三峡', '机场']","['X', 'IG', 'IG']"
['导航'],['IO']
"['关闭', '导航']","['IO', 'IN']"
"['来', '青岛', '省', '骨科', '医院']","['X', 'IA', 'IA', 'IA', 'IA']"
"['路桥', '方', '林', '汽车城']","['IA', 'IA', 'IA', 'IA']"
"['到', '高平']","['X', 'IG']"
"['我', '要', '去', '晋', '江南', '晋江']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '(', 'dialect', ')', '，', '天地', '源']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'IA', 'IA']"
"['关闭', '导航']","['IO', 'IN']"
"['帮', '找', '一下', '武鸣县']","['X', 'IO', 'X', 'IA']"
"['到', '西二环']","['X', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
['第二个'],['IP']
"['导航', '谢', '颍上', '县', '谢', '桥', '镇政府']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '现在', '在', '哪里']","['X', 'X', 'X', 'X']"
"['我', '要', '去', '春秋', '路']","['X', 'X', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['去', '泗阳']","['X', 'IG']"
"['导航', '到', '儋州市']","['IO', 'X', 'IG']"
"['导航', '到', '博文', '宾馆']","['IO', 'X', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['导航', '铜梁', '中医院']","['IO', 'IG', 'IG']"
"['去', '福建', '师范大学', '协和', '季', '协和', '学院', '计算机', '楼', 'd', '五']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '王府井']","['X', 'X', 'X', 'IG']"
"['我', '要', '去', '松原', '市']","['X', 'X', 'X', 'IG', 'IG']"
['确定'],['X']
"['导航', '去', '苏', '欣快', '客站']","['IO', 'X', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['(', 'side', ')', '，', '第三个']","['X', 'X', 'X', 'X', 'IP']"
"['我', '想', '去', '卡丁车', '卡丁车', '国际', '卡丁车']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '龙华寺']","['IO', 'X', 'IG']"
"['我', '要', '去', '鹃', '岭', '管理区', '地税局']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '春夏秋冬']","['IO', 'X', 'IG']"
"['我', '想', '去', '清水', '街']","['X', 'X', 'X', 'IG', 'IG']"
"['(', 'side', ')', '，', '第一个']","['X', 'X', 'X', 'X', 'IP']"
['金平'],['IA']
['第四个'],['IP']
"['闭', '导航']","['IO', 'IN']"
"['我', '要', '去', '湖南', '教育', '出版社']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['三', '好', '街']","['IA', 'IA', 'IA']"
"['你', '好', '帮', '我', '导航', '到']","['X', 'X', 'X', 'X', 'IO', 'X']"
"['(', 'unknown', ')', '航', '到', '金沙县', '人民政府']","['X', 'X', 'X', 'X', 'X', 'IG', 'IG']"
"['去', '太原市', '第八', '人民医院']","['X', 'IG', 'IG', 'IG']"
"['布', '亚', '大厦']","['IA', 'IA', 'IA']"
"['夏邑', '县', '随缘', '美容店']","['IA', 'IA', 'IA', 'IA']"
"['帮', '我', '导航', '到', '南京市']","['X', 'X', 'IO', 'X', 'IG']"
"['导航', '海伦', '国际']","['IO', 'IG', 'IG']"
"['留下', '镇']","['IA', 'IA']"
"['导航', '去', '附', '一', '医院']","['IO', 'X', 'IG', 'IG', 'IG']"
"['七彩', '云南', '古', '滇', '名城']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['去', '贵阳北', '站']","['X', 'IG', 'IG']"
"['我', '要', '到', '绵阳市', '丰', '谷', '镇']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['请', '导航', '到', '赣州', '恒大', '帝景']","['X', 'IO', 'X', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['帮', '我', '导航', '到', '车站', '汽车站']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['导航', '到', '黄泥', '磅', '立交']","['IO', 'X', 'IG', 'IG', 'IG']"
['第二个'],['IP']
"['去', '金龙', '桥', '啊']","['X', 'IG', 'IG', 'X']"
"['到', '西昌']","['X', 'IG']"
"['到', '崇明', '堡', '镇']","['X', 'IG', 'IG', 'IG']"
"['请', '退出', '导航']","['X', 'IO', 'IN']"
"['导航', '到', '清源', '山']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '大洼', '高中', '北门']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['鹰潭市', '永盛', '广场', '永盛', '广场']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '青岛', '成', '达', '别克', '四', 's', '店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['附近', '的', '线缆', '专卖店']","['IK', 'X', 'IC', 'IC']"
"['去', '大王']","['X', 'IG']"
"['你', '给', '我', '导航', '到', '铁山', '镇政府']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG']"
"['去', '金华', '汽配城']","['X', 'IG', 'IG']"
"['我', '现在', '在', '什么', '地方']","['X', 'X', 'X', 'X', 'X']"
"['导航', '到', '家富', '侨', '广东省', '总店']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['回家'],['X']
"['去', '江东', '丽景', '园']","['X', 'IG', 'IG', 'IG']"
"['去', '第二个']","['X', 'IP']"
"['导航', '到', '辽宁省', '沈阳市', '客运站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['今天', '北京', '什么', '天气']","['X', 'X', 'X', 'X']"
"['导航', '打开']","['IN', 'IO']"
"['邵阳市', '汽车', '东站']","['IA', 'IA', 'IA']"
"['不', '播放']","['X', 'DO']"
"['中华', '石鼓', '园', '宝鸡']","['IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '南', '收费站']","['X', 'X', 'X', 'IA', 'IA']"
"['导航', '到', '长水', '机场']","['IO', 'X', 'IG', 'IG']"
['是'],['X']
"['东', '思嘉', '工业园']","['IA', 'IA', 'IA']"
"['我', '要', '去', '苍', '玉', '洞', '家园', '小区']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '(', 'unknown', ')', '县一中']","['X', 'X', 'IO', 'X', 'X', 'X', 'IG']"
"['导航', '到', '银海', '一', '南山']","['IO', 'X', 'IG', 'IG', 'IG']"
"['成都', '东站']","['IA', 'IA']"
"['我', '要', '去', '樱海', '园']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '海口', '实验', '中学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '回家']","['IO', 'X']"
"['导航', '丽达', '广场']","['IO', 'IG', 'IG']"
['确定'],['X']
"['导航', '到', '阜康', '市', '天池', '风景区']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '想', '吃', '一点', '东西']","['X', 'X', 'IA', 'IA', 'IA']"
"['导航', '去', '和林格尔县']","['IO', 'X', 'IG']"
['回家'],['X']
"['导航', '到', '贵阳北', '站']","['IO', 'X', 'IG', 'IG']"
"['到', '武汉大学']","['X', 'IG']"
"['税', '招', '鱼', '馆']","['IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['永寿', '县', '华', '城', '和']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
"['去', '藤', '桥', '镇']","['X', 'IG', 'IG', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['导航', '到', '天安门']","['IO', 'X', 'IG']"
"['导航', '(', 'unknown', ')']","['IO', 'X', 'X', 'X']"
"['导航', '平', '桂', '大道']","['IO', 'IG', 'IG', 'IG']"
"['我', '要', '去', '南京', '南站']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '河东', '路']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '浙江省', '省', '高级中学']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
['回家'],['X']
"['去', '樱花', '培训中心']","['X', 'IG', 'IG']"
['第三个'],['IP']
"['搜索', '石狮', '世茂', '摩天', '城']","['IO', 'IA', 'IA', 'IA', 'IA']"
"['(', 'side', ')', '完', '之后', '可以', '给', '您', '，', '导航', '去', '丰泽', '大厦', '(', 'side', ')', '拜拜', '嗯']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X']"
"['请', '带', '我', '到', '重庆']","['X', 'X', 'X', 'X', 'IG']"
"['诶', '我', '要', '去', '江北', '机场']","['X', 'X', 'X', 'X', 'IG', 'IG']"
"['导航', '去', '长春市', '人民广场']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '天河', '国际机场']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '世界之窗']","['IO', 'X', 'IG']"
"['帮', '我', '导航', '到', '青浦', '公安分局']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '香江', '汽配城']","['X', 'X', 'X', 'IG', 'IG']"
"['贵阳市', '花溪区', '南溪', '学校']","['IA', 'IA', 'IA', 'IA']"
"['惠州市', '客运站']","['IA', 'IA']"
"['导航', '到', '云南', '开放', '大学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['到', '海安', '曲', '塘']","['X', 'IG', 'IG', 'IG']"
"['导航', '到', '福克', '吉', '瑞', '大酒店']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['找', '最近', '的', '路', '到', '最近', '的', '路', '到', '中华大街', '绿化', '路口']","['X', 'IM', 'X', 'IG', 'X', 'IM', 'X', 'IG', 'X', 'IG', 'IG', 'IG']"
['导航'],['IO']
"['导航', '眉', '州', '东坡', '泛海', '店']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '昆', '阳']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '成都市']","['IO', 'X', 'IG']"
"['导航', '到', '建', '水东', '商']","['IO', 'X', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '到', '叉', '幺', '七五', '远大', '公路']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '鄂尔多斯市', '火车', '西站']","['X', 'IG', 'IG', 'IG']"
"['去', '(', 'unknown', ')', '学校']","['X', 'X', 'X', 'X', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
['导航'],['IO']
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'side', ')', '，', '请', '导航', '(', 'unknown', ')', '保国', '农场']","['X', 'X', 'X', 'X', 'X', 'IO', 'X', 'X', 'X', 'IG', 'IG']"
"['通', '许', '县', '人民政府']","['IA', 'IA', 'IA', 'IA']"
"['停止', '导航']","['IO', 'IN']"
"['哪', '有', '拉屎', '的', '地方']","['X', 'X', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '去', '南', '香山', '派出所']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '应', '合', '(', 'unknown', ')']","['IO', 'X', 'IG', 'IG', 'X', 'X', 'X']"
"['导航', '到', '南宁', '万里', '汽配城']","['IO', 'X', 'IG', 'IG', 'IG']"
"['尹', '东', '新村', '五', '区']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['我', '要', '吃', '饺子']","['X', 'X', 'X', 'IA']"
"['导航', '到', '明珠', '广场']","['IO', 'X', 'IG', 'IG']"
"['导航', '金', '云', '国际', '小区']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['滨海', '商业', '广场']","['IA', 'IA', 'IA']"
['第一个'],['IP']
"['(', 'unknown', ')', '你', '好', '打开', '去', '花果园', '龙', '发', '装饰', '的', '导航', '不', '是不是', '花园', '财富', '广场', '七号']","['X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'X', 'IN', 'X', 'X', 'DA', 'DA', 'DA', 'DA']"
"['我', '要', '去', '第一个']","['X', 'X', 'X', 'IP']"
"['导航', '到', '蜀南', '竹海']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '正安', '牛羊肉', '批发', '市场']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['给', '海', '石湾', '宏顺', '打电话']","['X', 'X', 'X', 'X', 'X']"
"['(', 'noise', ')']","['X', 'X', 'X']"
"['请', '导航', '到', '东方', '电子商务', '园']","['X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '尼', '苏', '小镇']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '江苏', '金山寺']","['X', 'X', 'X', 'IG', 'IG']"
['确定'],['X']
['第一个'],['IP']
"['导航', '到', '塔什库尔干', '县', '蓝天', '宾馆']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['取消', '导航']","['IO', 'IN']"
"['财', '通', '中心', '医院', '怎么', '走']","['IG', 'IG', 'IG', 'IG', 'X', 'X']"
"['导航', '到', '下沙']","['IO', 'X', 'IG']"
"['这', '是', '哪里', '啊']","['X', 'X', 'X', 'X']"
"['去', '内蒙古', '乌兰察布', '市', '集宁', '区']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['帮忙', '找', '一下', '附近', '哪里', '有', '(', 'unknown', ')']","['X', 'IO', 'X', 'IK', 'X', 'X', 'X', 'X', 'X']"
"['去', '新兴', '商贸城']","['X', 'IG', 'IG']"
"['到', '莲花', '城', '店', '(', 'side', ')', '(', 'unknown', ')', '右转']","['X', 'IG', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['万', '湖', '路']","['IA', 'IA', 'IA']"
"['去', '上海']","['X', 'IG']"
"['到', '蓬街镇', '中学']","['X', 'IG', 'IG']"
"['我', '要', '去', '兰溪', '宾馆']","['X', 'X', 'X', 'IG', 'IG']"
"['去', '番禺', '东海', '花园']","['X', 'IG', 'IG', 'IG']"
['第二个'],['IP']
"['去', '第二个']","['X', 'IP']"
['第一个'],['IP']
"['导航', '去', '广饶县', '滨海', '开发区', '王', '银', '集团']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['滚滚', '滚']","['X', 'X']"
"['运', '乔', '建材城']","['IA', 'IA', 'IA']"
"['宁夏', '医科大学', '总医院']","['IA', 'IA', 'IA']"
"['我', '要', '去', '莱西', '市']","['X', 'X', 'X', 'IG', 'IG']"
"['我', '要', '去', '长春', '高新区', '管委会']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '去', '白', '城子', '市']","['X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '高', '莞', '镇']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['退出', '退出']","['IO', 'IO']"
"['闭', '导航']","['IO', 'IN']"
"['(', 'unknown', ')', '找到', '东山', '(', 'unknown', ')']","['X', 'X', 'X', 'X', 'IA', 'X', 'X', 'X']"
"['到', '崇州市']","['X', 'IG']"
"['闭', '导航']","['IO', 'IN']"
"['我', '要', '去', '北京天安门']","['X', 'X', 'X', 'IG']"
