sentences,labels
"['导航', '到', '天台山']","['IO', 'X', 'IG']"
"['导航', '到', '长春市']","['IO', 'X', 'IG']"
"['导航', '去', '义乌', '小', '商品市场']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '保定', '的', '白石山', '玻璃', '栈道', '景区']","['X', 'X', 'X', 'IH', 'X', 'II', 'II', 'II', 'II']"
"['郑州', '龙湖', '二手车', '市场']","['IA', 'IA', 'IA', 'IA']"
"['去', '产业', '集聚', '区']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '保定市', '秀', '园', '路', '东口']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '(', 'unknown', ')', '政府']","['X', 'X', 'X', 'X', 'IG']"
"['我', '要', '去', '临沂市', '河东区']","['X', 'X', 'X', 'IG', 'IG']"
"['保税区', '车辆厂']","['IA', 'IA']"
"['现在', '这', '是', '哪里']","['X', 'X', 'X', 'X']"
"['导航', '到', '平谷', '燃气', '公司']","['IO', 'X', 'IG', 'IG', 'IG']"
['关'],['X']
"['(', 'unknown', ')', '我', '把', '这个', '导航', '系统', '关掉']","['X', 'X', 'X', 'X', 'X', 'X', 'IN', 'X', 'X']"
"['导航', '去', '金沙江', '路', '驰', '加', '汽车', '修理店']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['开启', '导航']","['IO', 'IN']"
"['海', '湖', '出口']","['IA', 'IA', 'IA']"
"['导航', '到', '民意', '四路']","['IO', 'X', 'IG', 'IG']"
"['小', '奇']","['X', 'X']"
"['导航', '到', '红花', '套', '科目二', '考场']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '钱', '清']","['X', 'X', 'X', 'IG', 'IG']"
"['(', 'noise', ')']","['X', 'X', 'X']"
"['去', '花生', '唐']","['X', 'IG', 'IG']"
"['我', '想', '去', '西安', '铁路', '职业', '技术', '学院']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['第一个', '第一个']","['IP', 'IP']"
"['(', 'side', ')', '我', '我', '我', '我', '那个', '那个', '那', '本田', '那个', '电话', '打过来']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['沃尔玛', '超市']","['IA', 'IA']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['你', '好', '远', '界', '导航', '到', '丽', '金', '国际', '酒店']","['X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['到', '兰陵', '县', '城市', '花园', '请', '导航']","['X', 'IG', 'IG', 'IG', 'IG', 'X', 'IO']"
"['导航', '去', '成都市', '龙泉驿区']","['IO', 'X', 'IG', 'IG']"
['永昌县'],['IA']
"['导航', '去', '生鲜', '脂肪', '食品', '有限公司']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['请到', '波密', '县']","['X', 'IG', 'IG']"
"['燕郊', '燕', '灵', '路', '小学']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['去', '鄄城县', '人民政府']","['X', 'IG', 'IG']"
"['湖南', '农业大学', '停车场', '导航']","['IG', 'IG', 'IG', 'IO']"
"['南京', '溧', '新', '冶金', '机械']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['华', '城', '广场', '导航']","['IG', 'IG', 'IG', 'IO']"
"['去', '临海', '镇政府']","['X', 'IG', 'IG']"
"['导航', '到', '云岩区', '樱花', '巷', '碧', '云山', '居']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '宜州', '市']","['IO', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['我', '去', '李沧区', '政府']","['X', 'X', 'IG', 'IG']"
"['打', '导航', '到', '县政府']","['X', 'IO', 'X', 'IG']"
"['到', '青羊', '区', '万达']","['X', 'IG', 'IG', 'IG']"
"['开始', '导航']","['IO', 'IO']"
['取消'],['IO']
"['(', 'noise', ')']","['X', 'X', 'X']"
"['和平县', '人民政府']","['IA', 'IA']"
"['导航', '到', '天', '环', '广场']","['IO', 'X', 'IG', 'IG', 'IG']"
"['请', '导航', '到', '冀州', '市', '第一', '中学']","['X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '(', 'unknown', ')']","['IO', 'X', 'X', 'X']"
"['龚', '家', '坪', '北路', '二百一十', '一号']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['去', '十字街']","['X', 'IG']"
"['(', 'side', ')', '(', 'unknown', ')', '不', '了', '啊', '你', '，', '导航', '到', '舟山市', '朱家', '街', '南沙']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '导航', '到', '呈贡', '区', '七店', '村']","['X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['导航', '到', '虹', '畔', '馨', '苑']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '兰州', '市公安局']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '沈', '旦', '镇', '张', '庄子', '村']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '桦南县']","['X', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['去', '瑞安', '市', '第五', '人民医院']","['X', 'IG', 'IG', 'IG', 'IG']"
"['去', '长沙', '东站']","['X', 'IG', 'IG']"
"['你', '好', '导航', '去', '那个', '海口']","['X', 'X', 'IO', 'X', 'X', 'IG']"
"['我', '要', '去', '舜', '奥', '华府']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '马村', '立交桥']","['X', 'X', 'X', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['(', 'unknown', ')', '导航', '到', '去', '医', '去', '医院']","['X', 'X', 'X', 'IO', 'X', 'X', 'IG', 'X', 'IG']"
"['我', '要', '回家']","['X', 'X', 'X']"
"['导航', '狭', '隧道']","['IO', 'IG', 'IG']"
"['导航', '到', '世纪', '村']","['IO', 'X', 'IG', 'IG']"
"['退出', '导航', '光头强']","['IO', 'IN', 'X']"
['确定'],['X']
['回家'],['X']
"['导航', '去', '咸阳']","['IO', 'X', 'IG']"
"['搜', '一', '宾馆']","['IO', 'X', 'IA']"
['第二个'],['IP']
"['禄丰县', '医院']","['IA', 'IA']"
"['帮', '我', '导航', '去', '去', '无锡', '天', '一', '高架桥', '不', '走', '高速']","['X', 'X', 'IO', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IM', 'IM', 'IM']"
"['请', '导航', '到', '美国']","['X', 'IO', 'X', 'IG']"
"['导航', '到', '泛海', '国际']","['IO', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['带', '我', '去', '曲靖市', '妇幼保健院']","['X', 'X', 'X', 'IG', 'IG']"
"['航', '到', '三原', '县']","['X', 'X', 'IG', 'IG']"
"['去', '大城', '红木', '雕刻', '城']","['X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '家', '和', '购物', '广场']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '济南', '西', '收费站', '走下', '道', '不', '走', '高速']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IM', 'IM', 'IM']"
['导航'],['IO']
"['我', '要', '去', '陕西省', '渭南市', '大邑县']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['我', '要', '去', '江苏', '沭阳']","['X', 'X', 'X', 'IG', 'IG']"
['导航'],['IO']
"['去', '凤凰', '湖', '服务站', '南', '长城', '服务站']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '白', '佛']","['IO', 'IG', 'IG']"
"['华西', '美庐']","['IA', 'IA']"
"['导航', '到', '中环', '湖滨', '公馆']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '建林', '浮桥', '收费站']","['IO', 'IG', 'IG', 'IG']"
"['到', '三合', '路口']","['X', 'IG', 'IG']"
"['(', 'side', ')', '(', 'unknown', ')', '导航', '，', '我', '要', '到', '鲅鱼', '圈']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IG', 'IG']"
"['到', '白洋淀', '景区']","['X', 'IG', 'IG']"
"['我', '要', '去', '咏春', '工业', '坊']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '工人', '新村']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '东升', '大厦']","['X', 'X', 'X', 'IG', 'IG']"
"['日', '尧', '交警大队']","['IA', 'IA', 'IA']"
"['闭', '导航']","['IO', 'IN']"
"['导航', '去', '霸', '州', '西站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['花海', '镇', '小区', '西', '泉', '村', '六组']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['健身房', '奥体', '健身', '奥体', '健身', '(', 'side', ')', '其他', '所有', '东西', '都', '已经', '定', '的', '都', '东西', '都', '已经', '完成', '了', '(', 'unknown', ')']","['IA', 'IA', 'IA', 'IA', 'IA', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['闭', '导航']","['IO', 'IN']"
['第一个'],['IP']
"['去', '第三个']","['X', 'IP']"
"['帮', '我', '导航', '到', '口子', '吉庆', '南寺']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '中心广场']","['IO', 'X', 'IG']"
"['安', '能', '物流园', '物流', '公司']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '去', '金', '虹桥', '商场']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '许', '二', '水电']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '回', '奎屯']","['X', 'X', 'X', 'IG']"
"['导航', '到', '新', '奇特', '大酒店']","['IO', 'X', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '到', '铭', '车', '汇']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['请问', '你', '家', '在', '哪里']","['X', 'X', 'X', 'X', 'X']"
"['我', '要', '去', '武强', '县', '东', '庄']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '银', '地', '家园']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '周', '浦']","['IO', 'X', 'IG', 'IG']"
"['到', '(', 'unknown', ')', '海鲜', '批发', '市场']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '穿', '金', '路', '中段', '蓝色', '经典']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['到', '威宁']","['X', 'IG']"
"['我', '要', '去', '通', '北路']","['X', 'X', 'X', 'IG', 'IG']"
"['开', '导航', '关', '岭', '布依族', '苗族', '自治县']","['IO', 'IN', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '一下', '亿', '阳', '汇', '众', '四', 's', '店']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '英', '营', '煤矿']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '周村', '收费站']","['IO', 'X', 'IG', 'IG']"
['交通银行'],['IA']
"['导航', '石桥', '铺', '(', 'robot', ')', '前方', '一百米', '左转', '进入', '长江', '二路', '左转', '然后', '一百五十米', '靠左', '行驶']","['IO', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['我', '想到', '百花', '路']","['X', 'X', 'IG', 'IG']"
"['退出', '导航']","['IO', 'IN']"
"['我', '要', '去', '东门']","['X', 'X', 'X', 'IG']"
['第一个'],['IP']
"['龙山', '水库']","['IA', 'IA']"
"['去', '福州市', '福清', '东方', '第一', '漂']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
['导航'],['IO']
['一号线'],['X']
['华山'],['IA']
"['我', '要', '去', '荣', '城', '花园']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['金石', '花园', '售楼部']","['IA', 'IA', 'IA']"
"['闭', '导航']","['IO', 'IN']"
['第一个'],['IP']
"['自治区', '中医院', '(', 'unknown', ')']","['IA', 'IA', 'X', 'X', 'X']"
"['陶然', '北岸']","['IA', 'IA']"
"['(', 'unknown', ')', '重新', '导航']","['X', 'X', 'X', 'IO', 'IO']"
"['我', '要', '到', '新兴', '街', '信用社']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '安和', '小区']","['IO', 'IG', 'IG']"
"['导航', '到', '玫瑰', '湾']","['IO', 'X', 'IG', 'IG']"
"['去', '青海省', '互助', '土族', '自治县']","['X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '到', '金银', '潭', '地铁站']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '佛山', '三水']","['IO', 'IG', 'IG']"
"['我', '想', '去', '安', '益', '街', '益', '康', '园', '小区']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '将军', '路']","['IO', 'X', 'IG', 'IG']"
"['导航', '去', '开', '龙', '电子']","['IO', 'X', 'IG', 'IG', 'IG']"
['退出'],['IO']
"['小', '爱', '你', '好', '帮', '我', '导', '一下', '长丰县', '浦', '里', '村']","['X', 'X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '苏州', '北站']","['X', 'X', 'X', 'IG', 'IG']"
['导航'],['IO']
"['去', '明', '岛', '饭店']","['X', 'IG', 'IG', 'IG']"
"['导航', '去', '无棣', '店', '都市', '广场']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '现在', '在', '哪里']","['X', 'X', 'X', 'X']"
"['帮', '我', '导航', '到', '菏泽市', '维吾尔', '(', 'unknown', ')', '服务', '中心']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'X', 'X', 'X', 'IG', 'IG']"
"['去', '海湾大桥']","['X', 'IG']"
"['导航', '到', '京城', '白癜风', '银屑', '病', '研究所']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '中', '海', '广场', 'a', '一', '座']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '唉', '对']","['X', 'X', 'X', 'X', 'X']"
"['重庆', '洋人', '街']","['IA', 'IA', 'IA']"
['取消'],['IO']
"['港', '上港']","['IA', 'IA']"
"['我', '要', '到', '大同']","['X', 'X', 'X', 'IG']"
"['打开', '导航']","['IO', 'IN']"
['盘锦'],['IA']
"['我们', '现在', '在', '哪里', '呀']","['X', 'X', 'X', 'X', 'X']"
"['璧山', '一天', '门', '车站']","['IA', 'IA', 'IA', 'IA']"
['确定'],['X']
"['(', 'side', ')']","['X', 'X', 'X']"
"['导航', '到', '双井', '子', '乡']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '滦平县']","['X', 'X', 'X', 'IG']"
"['卸甲', '村']","['IA', 'IA']"
"['去', '柘林镇', '海上', '家园']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '鞍钢', '第七', '幼儿园']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['我', '要', '去', '迁安']","['X', 'X', 'X', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['我', '要', '去', '西安']","['X', 'X', 'X', 'IG']"
"['导航', '到', '都匀市', '(', 'unknown', ')']","['IO', 'X', 'IG', 'X', 'X', 'X']"
"['继续', '帮', '我', '导航', '到', '山顶', '道', '国宾', '城']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['导航', '到', '沙湾县']","['IO', 'X', 'IG']"
['第一个'],['IP']
"['导航', '去', '利川']","['IO', 'X', 'IG']"
"['到', '佛山', '南', '二路']","['X', 'IG', 'IG', 'IG']"
"['东莞市', '横', '沥', '镇', '三江', '工业区']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['第二', '第二', '零二', '零二']","['IP', 'IP', 'IP', 'IP']"
['第一个'],['IP']
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['去', '阳曲县', '开']","['X', 'IG', 'IG']"
"['导航', '到', '司门口']","['IO', 'X', 'IG']"
"['导航', '到', '罗浮', '山', '嘉宝', '田', '度假', '酒店']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['到', '南京']","['X', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['我', '要', '去', '宕', '昌', '县']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['哦', '郑州大学', '新', '校区']","['X', 'IA', 'IA', 'IA']"
"['商丘市', '第一', '中学']","['IA', 'IA', 'IA']"
"['去', '黄龙县']","['X', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['顺天', '家私', '顺天', '家私', '有限公司']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '(', 'unknown', ')', '外滩']","['X', 'X', 'X', 'X', 'X', 'X', 'IG']"
"['导回', '导航', '到', '安徽省', '蚌埠市', '怀远县', '包', '集镇']","['X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['阳城县', '八', '甲', '口']","['IA', 'IA', 'IA', 'IA']"
['第三'],['IP']
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['赣州市', '南康区']","['IA', 'IA']"
"['麻烦', '到', '世纪', '城', 'm', ' ', 'k', ' ', 'ktv']","['X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '林', '沙市']","['X', 'IG', 'IG']"
"['导航', '到', '唐山']","['IO', 'X', 'IG']"
"['导航', '到', '广州黄埔', '石化', '大院']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '潼关', '县']","['IO', 'X', 'IG', 'IG']"
"['关闭', '地图']","['IO', 'IN']"
"['不', '去', '了']","['X', 'X', 'X']"
"['我', '要', '去', '永兴', '汽车站']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '光棍', '设置']","['IO', 'IG', 'X']"
"['(', 'side', ')', '来来来', '来', '来', '继续']","['X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['你', '就', '到', '第二个']","['X', 'X', 'X', 'IP']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'side', ')', '我', '要', '后面', '吗', '我', '要', '后面', '那', '条', '路', '吗', '我', '也', '也', '走', '原来', '那', '条', '啊']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
